Code,Industry,Pre Code,Cur Code
NAICS 333611,Turbine and Turbine Generator Set Units Manufacturing,33361,1
NAICS 333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",33361,2
NAICS 333613,Mechanical Power Transmission Equipment Manufacturing,33361,3
NAICS 333618,Other Engine Equipment Manufacturing,33361,8
NAICS 333911,Pump and Pumping Equipment Manufacturing,33391,1
NAICS 333912,Air and Gas Compressor Manufacturing,33391,2
NAICS 333913,Measuring and Dispensing Pump Manufacturing,33391,3
NAICS 333921,Elevator and Moving Stairway Manufacturing,33392,1
NAICS 333922,Conveyor and Conveying Equipment Manufacturing,33392,2
NAICS 333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",33392,3
NAICS 333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",33392,4
NAICS 333991,Power-Driven Handtool Manufacturing,33399,1
NAICS 333992,Welding and Soldering Equipment Manufacturing,33399,2
NAICS 333993,Packaging Machinery Manufacturing,33399,3
NAICS 333994,Industrial Process Furnace and Oven Manufacturing,33399,4
NAICS 333995,Fluid Power Cylinder and Actuator Manufacturing,33399,5
NAICS 333996,Fluid Power Pump and Motor Manufacturing,33399,6
NAICS 333997,Scale and Balance Manufacturing,33399,7
NAICS 333999,All Other Miscellaneous General Purpose Machinery Manufacturing,33399,9
NAICS 334111,Electronic Computer Manufacturing,33411,1
NAICS 334112,Computer Storage Device Manufacturing,33411,2
NAICS 334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,33411,8
NAICS 334210,Telephone Apparatus Manufacturing,33421,0
NAICS 334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,33422,0
NAICS 334290,Other Communications Equipment Manufacturing,33429,0
NAICS 334310,Audio and Video Equipment Manufacturing,33431,0
NAICS 334412,Bare Printed Circuit Board Manufacturing,33441,2
NAICS 334413,Semiconductor and Related Device Manufacturing,33441,3
NAICS 334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",33441,6
NAICS 334417,Electronic Connector Manufacturing,33441,7
NAICS 334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,33441,8
NAICS 334419,Other Electronic Component Manufacturing,33441,9
NAICS 334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,33451,0
NAICS 334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",33451,1
NAICS 334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",33451,2
NAICS 334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",33451,3
NAICS 334514,Totalizing Fluid Meter and Counting Device Manufacturing,33451,4
NAICS 334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,33451,5
NAICS 334516,Analytical Laboratory Instrument Manufacturing,33451,6
NAICS 334517,Irradiation Apparatus Manufacturing,33451,7
NAICS 334519,Other Measuring and Controlling Device Manufacturing,33451,9
NAICS 334613,Blank Magnetic and Optical Recording Media Manufacturing,33461,3
NAICS 334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",33461,4
NAICS 335110,Electric Lamp Bulb and Part Manufacturing,33511,0
NAICS 335121,Residential Electric Lighting Fixture Manufacturing,33512,1
NAICS 335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",33512,2
NAICS 335129,Other Lighting Equipment Manufacturing,33512,9
NAICS 335210,Small Electrical Appliance Manufacturing,33521,0
NAICS 335221,Household Cooking Appliance Manufacturing,33522,1
NAICS 335222,Household Refrigerator and Home Freezer Manufacturing,33522,2
NAICS 335224,Household Laundry Equipment Manufacturing,33522,4
NAICS 335228,Other Major Household Appliance Manufacturing,33522,8
NAICS 335311,"Power, Distribution, and Specialty Transformer Manufacturing",33531,1
NAICS 335312,Motor and Generator Manufacturing,33531,2
NAICS 335313,Switchgear and Switchboard Apparatus Manufacturing,33531,3
NAICS 335314,Relay and Industrial Control Manufacturing,33531,4
NAICS 335911,Storage Battery Manufacturing,33591,1
NAICS 335912,Primary Battery Manufacturing,33591,2
NAICS 335921,Fiber Optic Cable Manufacturing,33592,1
NAICS 335929,Other Communication and Energy Wire Manufacturing,33592,9
NAICS 335931,Current-Carrying Wiring Device Manufacturing,33593,1
NAICS 335932,Noncurrent-Carrying Wiring Device Manufacturing,33593,2
NAICS 335991,Carbon and Graphite Product Manufacturing,33599,1
NAICS 335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,33599,9
NAICS 336111,Automobile Manufacturing,33611,1
NAICS 336112,Light Truck and Utility Vehicle Manufacturing,33611,2
NAICS 336120,Heavy Duty Truck Manufacturing,33612,0
NAICS 336211,Motor Vehicle Body Manufacturing,33621,1
NAICS 336212,Truck Trailer Manufacturing,33621,2
NAICS 336213,Motor Home Manufacturing,33621,3
NAICS 336214,Travel Trailer and Camper Manufacturing,33621,4
NAICS 336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,33631,0
